Unnamed: 0,ORANGES,Unnamed: 2,Unnamed: 3
KLY,KLEINHANS VALENCIAS,ORANGES,
KTL,KOBUS DU TOIT LATE  VALENCIAS,ORANGES,
LOS,LOUISA,ORANGES,
LSS,LOUISA SEEDLESS,ORANGES,
LOV,LOUISA VALENCIAS,ORANGES,
LET,LETABA ORANJE VALENCIAS,ORANGES,
LVL,LAVALLE,ORANGES,
LLT,LAVALLE LATE,ORANGES,
LVV,LAVALLE VALENCIAS,ORANGES,
LTN,LATE NAVELS,ORANGES,
LLN,LANE LATE NAVELS,ORANGES,
LNV,LANE LATE NAVELATES,ORANGES,
LLL,LANE LATE LATE NAVELS,ORANGES,
LSL,LIMPOPO SEEDLESS,ORANGES,
LSV,LIMPOPO SEEDLESS VALENCIA,ORANGES,
MCL,McCLEAN NAVELS,ORANGES,
MCS,McCLEAN SEEDLESS,ORANGES,
MCV,McCLEAN SL VALENCIAS,ORANGES,
M7O,M7 NAVELS,ORANGES,
MLD,MALINDA VALENCIA,ORANGES,
MLT,MALTAISE,ORANGES,
OMS,MALTAISE SANGUINE,ORANGES,
MTE,MAROC LATE VALENCIAS,ORANGES,
MUL,MULLER RED,ORANGES,
MUA ,MUSTANG NAVELS ,ORANGES,
MAX,MAXI VALENCIAS,ORANGES,
MKN,MIDKNIGHTS,ORANGES,
MKV,MIDKNIGHTS VALENCIAS,ORANGES,
MID,MIDSEASONS,ORANGES,
MOR,MORO,ORANGES,
NAV,NAVELS,ORANGES,
NLT,NAVELATE,ORANGES,
NVL,NAVELINA NAVELS,ORANGES,
NWL,NEWHALL NAVELS,ORANGES,
NGE,NGONINI EARLY,ORANGES,
NGY,NGONINI EARLY VALENCIAS,ORANGES,
OLI,OLINDA VALENCIAS,ORANGES,
PLM,PALMER NAVELS,ORANGES,
PRY,PAINTER EARLY NAVELS,ORANGES,
PKN,PINK NAVELS,ORANGES,
PSN,POWELL SUMMER NAVELS,ORANGES,
PWL,POWELL SUMMER LATE NAVEL,ORANGES,
PWN,POWELL SUMMER NAVELATES,ORANGES,
PRO,PROTEA,ORANGES,
RPO,RASPBERRY ORANGE ,ORANGES,
REL,RED LINA,ORANGES,
RIN,RED LINA NAVELS ,ORANGES,
RNA,RED NAVELS,ORANGES,
RVL,RED VALENCIAS,ORANGES,
RNN,ROBYN NAVELS,ORANGES,
RBB,ROBYN LATE NAVEL S,ORANGES,
RBN,ROBYN NAVELATES,ORANGES,
RVS,ROSALINA,ORANGES,
RRY,ROSY RED,ORANGES,
RRV,ROSY RED VALENCIAS,ORANGES,
RYN,ROYAL LATE NAVELS,ORANGES,
RYT,ROYAL LATE NAVELATES,ORANGES,
RNL,ROYAL LATE LATE NAVELS,ORANGES,
RNV,RUBY NAVELS,ORANGES,
RBV,RUBY VALENCIAS,ORANGES,
RUN,RUSTENBURG LATE NAVELS,ORANGES,
RTG,RUSTENBURG NAVELS,ORANGES,
RUV,RUSTENBURG NAVELATES,ORANGES,
SAL,SALUSTIANA,ORANGES,
SLV,SALUSTIANA VALENCIAS,ORANGES,
SAG,SANGUINELLI,ORANGES,
OSO,SANGUINELLO,ORANGES,
STC,SANTA CATARINA NAVELS,ORANGES,
SEV,SEVILLE,ORANGES,
SHA,SHAMOUTI,ORANGES,
SHV,SHAMOUTI VALENCIAS,ORANGES,
SIL,SUITANGI LATE NAVELS,ORANGES,
SIN,SUITANGI NAVELS,ORANGES,
SIS,SUITANGI NAVELATES,ORANGES,
SVL,SUMMER  GOLD LATE NAVELS,ORANGES,
SVG,SUMMER  GOLD NAVEL,ORANGES,
SVN,SUMMER  GOLD NAVELATES,ORANGES,
RSE,SUNRISE NAVELS,ORANGES,
TAR,TAROCCO,ORANGES,
TLG,TULEGOLD NAVELS,ORANGES,
TOM,TOMANGO,ORANGES,
TMV,TOMANGO VALENCIAS,ORANGES,
TUR,TURKEY,ORANGES,
TKV,TURKEY VALENCIAS,ORANGES,
VAL,VALENCIAS,ORANGES,
VLL,VALENCIA LATE,ORANGES,
VLV,VALENCIA LATE VALENCIAS,ORANGES,
VSD,VALENCIA SEEDLESS,ORANGES,
VTN,VALENTINE VALENCIAS,ORANGES,
WSN,WASHINGTON NAVELS,ORANGES,
WPE,WEIPE,ORANGES,
WPV,WEIPE VALENCIAS,ORANGES,
WLN,WITKRANS LATE NAVELS,ORANGES,
WKR,WITKRANS NAVELS,ORANGES,
WKL,WITKRANS NAVELATES,ORANGES,
MOD,MANDARIN ORANGES ,ORANGES,Only for Citrus to Thailand 
WET,SWEET ORANGES ,SWEET ORANGES,Only for Citrus to Thailand 
